Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis and Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis and Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week","Ehrlichiosis and Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis and Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2017, flag","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis and Anaplasmosis§, Undetermined, Cum 2016, flag",Location 1,Location 2
NORTH DAKOTA,2017,39,,-,0,,0,,,-,2,,,-,0,,3,,14,,9,,,-,0,,2,,2,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
INDIANA,2017,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,6,,31,,23,,"INDIANA
(39.76845, -86.156212)",
S. ATLANTIC,2017,39,2,,2,,15,,201,,230,,,-,1,,5,,41,,44,,,-,0,,2,,7,,10,,,
MISSISSIPPI,2017,39,,-,0,,2,,9,,9,,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MID. ATLANTIC,2017,39,8,,2,,65,,181,,152,,27,,16,,86,,1106,,712,,,-,1,,5,,32,,32,,,
GEORGIA,2017,39,,-,0,,1,,1,,12,,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,"GEORGIA
(32.836038, -83.631709)",
KENTUCKY,2017,39,,-,1,,8,,60,,40,,,-,0,,1,,2,,1,,,-,0,,2,,3,,1,,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2017,39,,-,0,,4,,24,,29,,,-,0,,1,,7,,8,,,-,0,,1,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
PACIFIC,2017,39,,-,0,,1,,1,,2,,,-,0,,2,,,-,5,,,-,0,,4,,9,,1,,,
CONNECTICUT,2017,39,,-,0,,0,,,-,1,,,-,0,,8,,,-,61,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2017,39,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
KANSAS,2017,39,,-,0,,4,,42,,49,,,-,0,,0,,,-,4,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
W.S. CENTRAL,2017,39,5,,4,,67,,190,,178,,,-,0,,3,,5,,10,,,-,0,,0,,,-,1,,,
WEST VIRGINIA,2017,39,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
E.S. CENTRAL,2017,39,1,,2,,15,,161,,143,,,-,0,,4,,21,,16,,,-,0,,2,,9,,10,,,
OREGON,2017,39,,-,0,,1,,1,,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
PENNSYLVANIA,2017,39,,-,0,,1,,,-,6,,,-,0,,4,,2,,43,,,-,0,,1,,,-,13,,"PENNSYLVANIA
(40.789676, -77.858055)",
WASHINGTON,2017,39,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2017,39,,-,0,,2,,12,,7,,,-,0,,1,,4,,6,,,-,0,,1,,1,,,-,"OHIO
(40.056807, -82.405897)",
NEBRASKA,2017,39,,-,0,,2,,,-,5,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
MINNESOTA,2017,39,,-,0,,0,,,-,6,,,-,0,,31,,,-,591,,,-,0,,2,,,-,31,,"MINNESOTA
(46.357661, -94.793397)",
NEW HAMPSHIRE,2017,39,,-,0,,1,,1,,6,,,-,0,,1,,3,,54,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ALASKA,2017,39,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2017,40,6,,2,,64,,102,,65,,24,,14,,75,,948,,551,,1,,0,,4,,23,,13,,"NEW YORK
(42.826892, -75.544286)",
MAINE,2017,40,,-,0,,3,,8,,5,,6,,6,,32,,386,,281,,1,,0,,1,,6,,4,,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
AMER. SAMOA,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
UNITED STATES,2017,40,12,,16,,139,,1201,,1126,,38,,58,,257,,3257,,3281,,2,,3,,16,,160,,170,,,
W.S. CENTRAL,2017,40,3,,4,,67,,195,,182,,1,,0,,3,,6,,10,,,-,0,,0,,,-,1,,,
NEVADA,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
OREGON,2017,40,,-,0,,1,,1,,2,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2017,40,,-,0,,60,,20,,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MICHIGAN,2017,40,,-,0,,1,,2,,8,,,-,0,,2,,8,,5,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW YORK CITY,2017,40,1,,0,,4,,21,,11,,7,,0,,13,,80,,39,,,-,0,,1,,2,,,-,,
CONNECTICUT,2017,40,,-,0,,0,,,-,1,,,-,0,,8,,,-,62,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
HAWAII,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
PENNSYLVANIA,2017,40,,-,0,,1,,,-,6,,,-,0,,4,,2,,44,,,-,0,,1,,,-,13,,"PENNSYLVANIA
(40.789676, -77.858055)",
MONTANA,2017,40,,-,0,,0,,,-,1,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
ILLINOIS,2017,40,,-,0,,4,,24,,30,,,-,0,,1,,7,,8,,,-,0,,1,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
VIRGIN ISL.,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NORTH CAROLINA,2017,40,,-,1,,5,,52,,58,,,-,0,,2,,9,,14,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
MISSOURI,2017,40,1,,2,,28,,274,,216,,,-,0,,3,,17,,11,,,-,0,,2,,10,,7,,"MISSOURI
(38.636168, -92.566292)",
NEW JERSEY,2017,40,,-,0,,10,,66,,72,,,-,2,,11,,104,,89,,,-,0,,1,,9,,6,,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
IDAHO,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2017,40,1,,1,,8,,84,,86,,,-,0,,4,,14,,10,,,-,0,,1,,3,,6,,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
COLORADO,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
ALABAMA,2017,40,,-,0,,2,,9,,10,,,-,0,,1,,5,,5,,,-,0,,0,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
PUERTO RICO,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MINNESOTA,2017,40,,-,0,,0,,,-,6,,,-,0,,31,,,-,599,,,-,0,,2,,,-,31,,"MINNESOTA
(46.357661, -94.793397)",
MISSISSIPPI,2017,40,,-,0,,2,,9,,9,,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2017,40,,-,0,,1,,10,,9,,,-,8,,81,,835,,670,,,-,0,,1,,2,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
C.N.M.I.,2017,40,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
VERMONT,2017,40,,-,0,,2,,8,,3,,,-,3,,24,,210,,142,,,-,0,,1,,4,,2,,"VERMONT
(43.622479, -72.51927)",
TEXAS,2017,40,,-,0,,2,,10,,11,,,-,0,,1,,1,,1,,,-,0,,0,,,-,1,,"TEXAS
(31.827233, -99.423022)",
MARYLAND,2017,40,,-,0,,4,,45,,35,,,-,0,,1,,6,,7,,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
E.S. CENTRAL,2017,40,1,,2,,15,,162,,146,,,-,0,,4,,21,,16,,,-,0,,2,,9,,10,,,
NORTH DAKOTA,2017,40,,-,0,,0,,,-,2,,,-,0,,3,,14,,9,,,-,0,,2,,2,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
IOWA,2017,40,,-,0,,2,,9,,3,,,-,0,,1,,5,,7,,,-,0,,1,,2,,2,,"IOWA
(42.46942, -93.815856)",
W.N. CENTRAL,2017,40,1,,3,,30,,325,,283,,,-,1,,32,,37,,633,,,-,0,,4,,14,,44,,,
FLORIDA,2017,40,,-,0,,2,,14,,22,,,-,0,,2,,9,,5,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2017,40,,-,0,,1,,1,,6,,,-,0,,1,,3,,54,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MOUNTAIN,2017,40,,-,0,,0,,,-,1,,,-,0,,1,,3,,1,,,-,0,,1,,3,,2,,,
S. ATLANTIC,2017,40,,-,2,,15,,210,,232,,,-,1,,5,,42,,44,,,-,0,,2,,7,,11,,,
RHODE ISLAND,2017,40,,-,0,,4,,14,,36,,,-,1,,6,,36,,128,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW ENGLAND,2017,40,,-,1,,5,,41,,60,,6,,19,,138,,1470,,1337,,1,,0,,2,,12,,6,,,
DIST. OF COL.,2017,40,,-,0,,0,,,-,4,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH CAROLINA,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
CALIFORNIA,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,5,,,-,0,,4,,9,,1,,"CALIFORNIA
(37.640735, -121.002435)",
UTAH,2017,40,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
WEST VIRGINIA,2017,40,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2017,40,,-,0,,1,,1,,12,,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,"GEORGIA
(32.836038, -83.631709)",
ARKANSAS,2017,40,3,,3,,13,,165,,167,,1,,0,,1,,5,,9,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2017,40,,-,0,,2,,12,,7,,,-,0,,1,,4,,6,,,-,0,,1,,1,,,-,"OHIO
(40.056807, -82.405897)",
LOUISIANA,2017,40,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
WISCONSIN,2017,40,,-,0,,4,,40,,21,,,-,5,,56,,525,,493,,,-,0,,5,,39,,39,,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2017,40,,-,0,,2,,,-,5,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2017,40,,-,1,,8,,60,,41,,,-,0,,1,,2,,1,,,-,0,,2,,3,,1,,"KENTUCKY
(37.64591, -84.774043)",
MID. ATLANTIC,2017,40,7,,2,,65,,189,,154,,31,,18,,86,,1134,,723,,1,,1,,5,,34,,32,,,
VIRGINIA,2017,40,,-,1,,7,,75,,82,,,-,0,,2,,11,,12,,,-,0,,1,,2,,6,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2017,40,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,6,,31,,24,,"INDIANA
(39.76845, -86.156212)",
E.N. CENTRAL,2017,40,,-,1,,7,,78,,66,,,-,6,,56,,544,,512,,,-,1,,9,,72,,63,,,
DELAWARE,2017,40,,-,0,,3,,21,,14,,,-,0,,2,,7,,4,,,-,0,,0,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
PACIFIC,2017,40,,-,0,,1,,1,,2,,,-,0,,2,,,-,5,,,-,0,,4,,9,,1,,,
NEW MEXICO,2017,40,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
SOUTH DAKOTA,2017,40,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KANSAS,2017,40,,-,0,,4,,42,,51,,,-,0,,0,,,-,4,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
WYOMING,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
C.N.M.I.,2017,41,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MID. ATLANTIC,2017,41,5,,3,,65,,195,,160,,13,,19,,86,,1147,,731,,2,,1,,5,,36,,33,,,
LOUISIANA,2017,41,,-,0,,0,,,-,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
DIST. OF COL.,2017,41,,-,0,,0,,,-,4,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
WASHINGTON,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MONTANA,2017,41,,-,0,,0,,,-,1,,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MASSACHUSETTS,2017,41,,-,0,,1,,10,,9,,,-,8,,81,,835,,677,,,-,0,,1,,2,,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
PENNSYLVANIA,2017,41,,-,0,,1,,,-,6,,,-,0,,4,,2,,45,,,-,0,,1,,,-,13,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEVADA,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ILLINOIS,2017,41,,-,0,,4,,24,,30,,,-,0,,1,,7,,8,,,-,0,,1,,1,,,-,"ILLINOIS
(40.477092, -88.993221)",
NEW ENGLAND,2017,41,,-,1,,5,,41,,60,,,-,20,,142,,1519,,1354,,,-,0,,2,,13,,6,,,
DELAWARE,2017,41,,-,0,,3,,21,,14,,,-,0,,2,,7,,4,,,-,0,,0,,,-,1,,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2017,41,,-,0,,2,,11,,9,,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2017,41,,-,0,,0,,,-,6,,,-,0,,31,,,-,608,,,-,0,,2,,,-,31,,"MINNESOTA
(46.357661, -94.793397)",
GEORGIA,2017,41,,-,0,,1,,1,,12,,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,"GEORGIA
(32.836038, -83.631709)",
SOUTH DAKOTA,2017,41,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
WISCONSIN,2017,41,,-,1,,4,,43,,21,,,-,6,,58,,542,,508,,,-,0,,4,,34,,43,,"WISCONSIN
(44.395526, -89.834513)",
INDIANA,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,6,,31,,24,,"INDIANA
(39.76845, -86.156212)",
OREGON,2017,41,,-,0,,1,,1,,2,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"OREGON
(44.567912, -120.156945)",
VIRGIN ISL.,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2017,41,1,,0,,8,,61,,41,,,-,0,,1,,2,,1,,,-,0,,2,,3,,1,,"KENTUCKY
(37.64591, -84.774043)",
OKLAHOMA,2017,41,,-,0,,60,,20,,1,,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
PACIFIC,2017,41,,-,0,,1,,1,,2,,,-,0,,2,,,-,7,,,-,0,,4,,9,,1,,,
W.N. CENTRAL,2017,41,,-,3,,30,,330,,283,,,-,0,,32,,37,,643,,,-,0,,5,,15,,45,,,
CONNECTICUT,2017,41,,-,0,,0,,,-,1,,,-,0,,8,,,-,64,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2017,41,,-,0,,2,,9,,10,,,-,0,,1,,6,,5,,,-,0,,0,,,-,3,,"ALABAMA
(32.839182, -86.631125)",
IDAHO,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
GUAM,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
COLORADO,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
FLORIDA,2017,41,,-,0,,2,,14,,22,,,-,0,,2,,9,,6,,,-,0,,0,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
NEW YORK,2017,41,3,,2,,64,,106,,70,,13,,16,,75,,961,,554,,1,,0,,4,,24,,13,,"NEW YORK
(42.826892, -75.544286)",
MOUNTAIN,2017,41,,-,0,,0,,,-,1,,,-,0,,1,,3,,1,,,-,0,,1,,3,,2,,,
IOWA,2017,41,,-,0,,2,,9,,3,,,-,0,,1,,5,,7,,,-,0,,1,,3,,2,,"IOWA
(42.46942, -93.815856)",
PUERTO RICO,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW YORK CITY,2017,41,2,,0,,4,,23,,11,,,-,0,,13,,80,,39,,1,,0,,1,,3,,,-,,
ARKANSAS,2017,41,3,,3,,13,,169,,175,,,-,0,,1,,5,,9,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSOURI,2017,41,,-,2,,28,,279,,216,,,-,0,,3,,17,,12,,,-,0,,2,,10,,8,,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2017,41,,-,0,,1,,2,,8,,,-,0,,2,,9,,5,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
OHIO,2017,41,,-,0,,2,,12,,8,,,-,0,,1,,4,,6,,,-,0,,1,,1,,,-,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,1,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2017,41,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
S. ATLANTIC,2017,41,,-,2,,15,,214,,234,,,-,1,,5,,42,,45,,,-,0,,2,,8,,11,,,
E.S. CENTRAL,2017,41,1,,1,,15,,166,,148,,,-,0,,4,,22,,16,,,-,0,,2,,9,,10,,,
HAWAII,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
NEW HAMPSHIRE,2017,41,,-,0,,1,,1,,6,,,-,0,,1,,3,,54,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MAINE,2017,41,,-,0,,3,,8,,5,,,-,7,,32,,388,,284,,,-,0,,1,,6,,4,,"MAINE
(45.252223, -68.986647)",
TENNESSEE,2017,41,,-,1,,8,,85,,88,,,-,0,,4,,14,,10,,,-,0,,1,,3,,6,,"TENNESSEE
(35.681402, -85.774444)",
ALASKA,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
UNITED STATES,2017,41,9,,15,,139,,1227,,1145,,13,,58,,263,,3338,,3334,,2,,3,,16,,160,,176,,,
KANSAS,2017,41,,-,0,,4,,42,,51,,,-,0,,0,,,-,4,,,-,0,,0,,,-,1,,"KANSAS
(38.345528, -98.201847)",
NEW JERSEY,2017,41,,-,0,,10,,66,,73,,,-,2,,11,,104,,93,,,-,0,,1,,9,,7,,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2017,41,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MARYLAND,2017,41,,-,0,,4,,45,,35,,,-,0,,1,,6,,7,,,-,0,,1,,1,,1,,"MARYLAND
(39.290443, -76.612333)",
E.N. CENTRAL,2017,41,,-,1,,8,,81,,67,,,-,7,,58,,562,,527,,,-,1,,9,,67,,67,,,
NORTH DAKOTA,2017,41,,-,0,,0,,,-,2,,,-,0,,3,,14,,9,,,-,0,,2,,2,,3,,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2017,41,,-,1,,8,,78,,83,,,-,0,,2,,11,,12,,,-,0,,1,,3,,6,,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,5,,,-,0,,4,,9,,1,,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2017,41,,-,0,,2,,10,,11,,,-,0,,1,,1,,1,,,-,0,,0,,,-,1,,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2017,41,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,2,,"ARIZONA
(34.869712, -111.760902)",
RHODE ISLAND,2017,41,,-,0,,4,,14,,36,,,-,1,,6,,36,,128,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2017,41,,-,0,,2,,8,,3,,,-,3,,29,,257,,147,,,-,0,,1,,5,,2,,"VERMONT
(43.622479, -72.51927)",
NORTH CAROLINA,2017,41,,-,0,,5,,53,,59,,,-,0,,2,,9,,14,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2017,41,,-,0,,2,,,-,5,,,-,0,,0,,,-,2,,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
W.S. CENTRAL,2017,41,3,,4,,67,,199,,190,,,-,0,,3,,6,,10,,,-,0,,0,,,-,1,,,
AMER. SAMOA,2017,41,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,
S. ATLANTIC,2017,42,1,,2,,15,,220,,236,,,-,1,,5,,43,,45,,,-,0,,2,,8,,11,,,
PENNSYLVANIA,2017,42,,-,0,,1,,,-,6,,,-,0,,4,,2,,46,,,-,0,,1,,,-,13,,"PENNSYLVANIA
(40.789676, -77.858055)",
MICHIGAN,2017,42,,-,0,,1,,2,,8,,,-,0,,2,,10,,5,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NEW ENGLAND,2017,42,,-,1,,10,,57,,60,,4,,21,,145,,1575,,1390,,,-,0,,2,,15,,6,,,
NEW YORK CITY,2017,42,1,,0,,4,,24,,12,,1,,0,,13,,81,,39,,,-,0,,1,,3,,,-,,
ARKANSAS,2017,42,2,,3,,13,,171,,177,,,-,0,,1,,5,,10,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
