 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2018","Giardiasis, Cum 2018, flag","Giardiasis, Cum 2017","Giardiasis, Cum 2017, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2018","Gonorrhea, Cum 2018, flag","Gonorrhea, Cum 2017","Gonorrhea, Cum 2017, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week","Haemophilus influenzae, invasive disease (all ages, all serotypes), Current week, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Med, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max","Haemophilus influenzae, invasive disease (all ages, all serotypes), Previous 52 weeks Max, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), all serotypes, Cum 2018","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2018, flag","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017","Haemophilus influenzae, invasive disease (all ages, all serotypes), Cum 2017, flag",Location 1,Location 2
FLORIDA,2018,3,15,,18,,32,,38,,60,,223,,626,,777,,986,,1338,,14,,5,,12,,27,,16,,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2018,3,8,,10,,22,,22,,22,,203,,303,,518,,683,,1403,,7,,5,,14,,22,,15,,"PENNSYLVANIA
(40.789676, -77.858055)",
OKLAHOMA,2018,3,,N,0,,0,,,N,,N,10,,141,,210,,136,,435,,2,,2,,8,,7,,3,,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2018,3,2,,4,,13,,8,,5,,154,,240,,352,,493,,675,,,-,3,,11,,2,,7,,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2018,3,9,,22,,44,,17,,72,,150,,666,,919,,778,,1534,,5,,7,,21,,17,,34,,,
RHODE ISLAND,2018,3,,-,1,,3,,,-,,-,6,,16,,89,,8,,11,,1,,0,,7,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
SOUTH CAROLINA,2018,3,1,,3,,9,,8,,7,,,-,224,,955,,,-,617,,,-,2,,12,,,-,15,,"SOUTH CAROLINA
(34.009286, -81.037094)",
TEXAS,2018,3,,N,0,,0,,,N,,N,,-,880,,1212,,,-,2411,,,-,7,,29,,5,,7,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2018,3,,-,0,,1,,,-,,-,,-,10,,25,,,-,27,,,-,0,,2,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
NEW ENGLAND,2018,3,,-,19,,40,,5,,34,,87,,261,,353,,364,,519,,3,,5,,17,,12,,20,,,
W.S. CENTRAL,2018,3,1,,4,,14,,2,,4,,23,,1341,,1648,,155,,3406,,2,,11,,41,,15,,19,,,
VERMONT,2018,3,,N,0,,0,,,N,,N,,-,3,,14,,,-,6,,1,,0,,2,,3,,1,,"VERMONT
(43.622479, -72.51927)",
MONTANA,2018,3,1,,2,,7,,2,,2,,,-,15,,31,,,-,47,,1,,0,,3,,2,,2,,"MONTANA
(47.062617, -109.430168)",
MISSOURI,2018,3,2,,4,,13,,8,,16,,183,,253,,345,,762,,696,,6,,2,,9,,20,,17,,"MISSOURI
(38.636168, -92.566292)",
OREGON,2018,3,5,,6,,16,,16,,7,,92,,98,,148,,323,,251,,2,,2,,7,,7,,5,,"OREGON
(44.567912, -120.156945)",
MICHIGAN,2018,3,,-,9,,31,,2,,26,,46,,273,,352,,275,,881,,,-,3,,9,,5,,11,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2018,3,,-,2,,4,,2,,5,,,-,20,,36,,2,,67,,,-,0,,3,,1,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2018,3,,-,2,,7,,1,,1,,,-,3,,32,,,-,24,,1,,0,,2,,4,,2,,"MAINE
(45.252223, -68.986647)",
KENTUCKY,2018,3,,N,0,,0,,,N,,N,,-,143,,230,,,-,410,,,-,1,,6,,,-,5,,"KENTUCKY
(37.64591, -84.774043)",
E.N. CENTRAL,2018,3,25,,29,,86,,49,,63,,481,,1403,,1679,,2302,,4542,,10,,16,,30,,38,,56,,,
CONNECTICUT,2018,3,,-,4,,9,,1,,11,,,-,74,,115,,,-,96,,,-,1,,6,,,-,4,,"CONNECTICUT
(41.544654, -72.651713)",
S. ATLANTIC,2018,3,19,,38,,68,,60,,118,,562,,2173,,2925,,2264,,5831,,21,,22,,39,,59,,93,,,
MARYLAND,2018,3,,-,3,,8,,4,,9,,83,,194,,348,,234,,196,,4,,2,,11,,15,,8,,"MARYLAND
(39.290443, -76.612333)",
C.N.M.I.,2018,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
WASHINGTON,2018,3,1,,7,,56,,1,,1,,156,,141,,230,,429,,367,,,-,0,,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MID. ATLANTIC,2018,3,26,,48,,74,,79,,107,,714,,1158,,1326,,2488,,3673,,15,,16,,30,,36,,34,,,
NEW YORK CITY,2018,3,17,,17,,29,,50,,37,,243,,458,,534,,971,,1277,,1,,2,,6,,5,,5,,,
MASSACHUSETTS,2018,3,,-,10,,21,,2,,18,,81,,151,,204,,356,,336,,,-,2,,10,,3,,12,,"MASSACHUSETTS
(42.268546, -72.085064)",
LOUISIANA,2018,3,,-,0,,8,,,-,1,,13,,207,,511,,19,,462,,,-,0,,4,,2,,8,,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2018,3,1,,3,,7,,2,,3,,,-,81,,307,,,-,98,,,-,1,,11,,1,,1,,"ARKANSAS
(34.748745, -92.275105)",
MINNESOTA,2018,3,,-,0,,0,,,-,,-,,-,122,,186,,,-,357,,,-,0,,3,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WYOMING,2018,3,,-,0,,3,,,-,2,,,-,7,,15,,,-,20,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
HAWAII,2018,4,,-,1,,5,,1,,5,,,-,26,,47,,,-,101,,,-,0,,3,,1,,5,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2018,4,11,,7,,19,,14,,42,,162,,415,,504,,983,,1849,,1,,4,,12,,14,,25,,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2018,4,,-,3,,9,,2,,11,,,-,18,,39,,48,,62,,,-,0,,2,,1,,,-,"IDAHO
(43.680635, -114.364237)",
W.S. CENTRAL,2018,4,2,,4,,14,,4,,5,,147,,1343,,1648,,388,,5054,,6,,11,,51,,25,,31,,,
C.N.M.I.,2018,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
KENTUCKY,2018,4,,N,0,,0,,,N,,N,,-,143,,230,,,-,537,,3,,1,,6,,12,,6,,"KENTUCKY
(37.64591, -84.774043)",
VIRGINIA,2018,4,5,,4,,16,,15,,10,,259,,236,,352,,751,,857,,,-,2,,14,,4,,10,,"VIRGINIA
(37.542699, -78.45822)",
ALABAMA,2018,4,2,,3,,10,,7,,17,,,-,225,,361,,495,,822,,2,,2,,6,,8,,5,,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2018,4,,-,0,,0,,,-,,-,,-,413,,496,,24,,1616,,,-,3,,12,,7,,19,,"NORTH CAROLINA
(35.47995, -79.180571)",
VIRGIN ISL.,2018,4,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
MICHIGAN,2018,4,,-,9,,31,,5,,30,,56,,273,,358,,460,,1191,,,-,3,,9,,7,,16,,"MICHIGAN
(44.66399, -84.711206)",
CONNECTICUT,2018,4,,-,4,,9,,9,,15,,,-,75,,116,,,-,179,,,-,1,,6,,1,,5,,"CONNECTICUT
(41.544654, -72.651713)",
E.S. CENTRAL,2018,4,2,,3,,10,,7,,17,,95,,756,,1048,,1115,,2684,,5,,7,,19,,44,,39,,,
MOUNTAIN,2018,4,6,,21,,44,,26,,86,,387,,668,,951,,1433,,2217,,3,,8,,21,,24,,49,,,
GUAM,2018,4,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2018,4,1,,6,,16,,16,,9,,149,,98,,148,,472,,349,,5,,2,,7,,12,,7,,"OREGON
(44.567912, -120.156945)",
KANSAS,2018,4,,-,2,,5,,,-,10,,34,,87,,115,,291,,317,,,-,1,,5,,1,,7,,"KANSAS
(38.345528, -98.201847)",
DELAWARE,2018,4,,-,0,,3,,,-,,-,,-,33,,54,,,-,128,,,-,0,,2,,2,,4,,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2018,4,,N,0,,0,,,N,,N,,-,172,,336,,367,,346,,,-,1,,5,,8,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
PENNSYLVANIA,2018,4,,-,10,,22,,25,,27,,246,,301,,518,,1023,,1831,,2,,5,,14,,24,,22,,"PENNSYLVANIA
(40.789676, -77.858055)",
WYOMING,2018,4,,-,0,,3,,,-,3,,,-,7,,15,,,-,25,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2018,4,2,,3,,7,,4,,4,,,-,81,,315,,,-,144,,,-,1,,11,,1,,4,,"ARKANSAS
(34.748745, -92.275105)",
WISCONSIN,2018,4,3,,9,,45,,20,,23,,131,,150,,212,,531,,529,,,-,1,,4,,,-,12,,"WISCONSIN
(44.395526, -89.834513)",
COLORADO,2018,4,,-,10,,19,,,-,33,,153,,164,,259,,641,,585,,,-,1,,5,,,-,14,,"COLORADO
(38.841772, -106.132562)",
NEW JERSEY,2018,4,,-,3,,15,,,-,31,,57,,181,,252,,493,,702,,,-,3,,7,,3,,10,,"NEW JERSEY
(40.104655, -74.386686)",
DIST. OF COL.,2018,4,,-,0,,2,,1,,4,,,-,84,,207,,232,,346,,,-,0,,1,,1,,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
MASSACHUSETTS,2018,4,,-,10,,21,,12,,29,,87,,151,,204,,528,,449,,1,,2,,10,,7,,14,,"MASSACHUSETTS
(42.268546, -72.085064)",
UTAH,2018,4,2,,3,,11,,7,,11,,32,,47,,122,,150,,182,,1,,1,,4,,6,,6,,"UTAH
(39.359772, -111.584173)",
ALASKA,2018,4,,-,1,,7,,,-,4,,,-,41,,60,,14,,105,,,-,0,,2,,,-,1,,"ALASKA
(64.836661, -147.738891)",
NEW ENGLAND,2018,4,1,,19,,40,,25,,53,,104,,262,,353,,555,,744,,1,,5,,17,,18,,23,,,
INDIANA,2018,4,,-,3,,8,,6,,9,,96,,222,,302,,628,,800,,,-,3,,8,,6,,8,,"INDIANA
(39.76845, -86.156212)",
ILLINOIS,2018,4,,N,0,,0,,,N,,N,28,,318,,467,,444,,1767,,,-,4,,11,,1,,19,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2018,4,,-,0,,8,,,-,1,,122,,205,,511,,141,,684,,,-,0,,4,,2,,8,,"LOUISIANA
(31.2931, -92.463284)",
W.N. CENTRAL,2018,4,2,,14,,31,,22,,65,,288,,604,,792,,1595,,2280,,1,,5,,13,,25,,34,,,
MARYLAND,2018,4,,-,3,,8,,4,,17,,,-,194,,348,,234,,395,,4,,2,,11,,21,,19,,"MARYLAND
(39.290443, -76.612333)",
NEW YORK,2018,4,11,,15,,29,,33,,43,,198,,207,,321,,687,,645,,6,,4,,22,,13,,8,,"NEW YORK
(42.826892, -75.544286)",
PUERTO RICO,2018,4,,-,0,,1,,,-,,-,,-,10,,25,,5,,38,,,-,0,,2,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
WEST VIRGINIA,2018,4,,-,1,,4,,2,,10,,,-,24,,40,,,-,108,,,-,1,,6,,4,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
S. ATLANTIC,2018,4,16,,38,,68,,83,,180,,747,,2209,,2932,,3764,,8093,,13,,22,,43,,88,,132,,,
MISSOURI,2018,4,1,,4,,13,,10,,19,,231,,253,,345,,1073,,926,,1,,2,,9,,23,,17,,"MISSOURI
(38.636168, -92.566292)",
NEW HAMPSHIRE,2018,4,,-,2,,5,,2,,4,,,-,9,,18,,,-,55,,,-,0,,2,,2,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
E.N. CENTRAL,2018,4,9,,30,,86,,64,,94,,545,,1411,,1655,,3455,,6134,,,-,16,,30,,44,,72,,,
WASHINGTON,2018,4,2,,7,,75,,3,,1,,207,,142,,230,,636,,495,,1,,0,,3,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2018,4,1,,2,,7,,2,,5,,,-,1,,32,,,-,38,,,-,0,,2,,4,,2,,"MAINE
(45.252223, -68.986647)",
NEW YORK CITY,2018,4,25,,17,,29,,75,,53,,285,,458,,534,,1434,,1718,,6,,2,,6,,11,,10,,,
MINNESOTA,2018,4,,-,0,,0,,,-,,-,,-,122,,186,,,-,479,,,-,0,,3,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2018,4,,-,18,,32,,38,,86,,326,,630,,823,,1540,,1984,,8,,5,,14,,35,,23,,"FLORIDA
(28.915325, -81.922409)",
NEVADA,2018,4,,-,1,,3,,,-,2,,2,,93,,123,,6,,319,,,-,0,,3,,1,,5,,"NEVADA
(39.491833, -117.070159)",
AMER. SAMOA,2018,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
TEXAS,2018,4,,N,0,,0,,,N,,N,,-,881,,1212,,,-,3623,,5,,7,,39,,14,,8,,"TEXAS
(31.827233, -99.423022)",
IOWA,2018,4,,-,4,,15,,2,,16,,,-,69,,98,,135,,251,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
OKLAHOMA,2018,4,,N,0,,0,,,N,,N,25,,140,,210,,247,,603,,1,,2,,8,,8,,11,,"OKLAHOMA
(35.468494, -97.521264)",
PACIFIC,2018,4,5,,66,,103,,35,,196,,524,,1736,,2110,,5369,,6639,,6,,4,,10,,19,,16,,,
NORTH DAKOTA,2018,4,,-,0,,4,,,-,2,,,-,18,,27,,,-,49,,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ARIZONA,2018,4,3,,3,,6,,11,,17,,181,,240,,446,,403,,713,,2,,2,,8,,12,,15,,"ARIZONA
(34.869712, -111.760902)",
UNITED STATES,2018,4,79,,249,,369,,399,,850,,3623,,10206,,11466,,21311,,38741,,49,,97,,186,,338,,446,,,
TENNESSEE,2018,4,,N,0,,0,,,N,,N,95,,232,,321,,253,,979,,,-,3,,8,,16,,20,,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2018,4,6,,6,,27,,33,,32,,234,,440,,531,,1392,,1847,,,-,5,,13,,30,,17,,"OHIO
(40.056807, -82.405897)",
MID. ATLANTIC,2018,4,36,,48,,74,,133,,154,,786,,1155,,1327,,3637,,4896,,14,,16,,30,,51,,50,,,
VERMONT,2018,4,,N,0,,0,,,N,,N,,-,3,,14,,,-,12,,,-,0,,2,,3,,1,,"VERMONT
(43.622479, -72.51927)",
MONTANA,2018,4,1,,2,,7,,4,,3,,,-,15,,31,,36,,64,,,-,0,,3,,2,,3,,"MONTANA
(47.062617, -109.430168)",
NEBRASKA,2018,4,1,,2,,6,,8,,10,,23,,48,,83,,94,,173,,,-,1,,3,,,-,9,,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2018,4,2,,46,,76,,15,,177,,168,,1464,,1684,,4247,,5589,,,-,1,,4,,5,,3,,"CALIFORNIA
(37.640735, -121.002435)",
SOUTH DAKOTA,2018,4,,-,2,,4,,2,,8,,,-,20,,36,,2,,85,,,-,0,,3,,1,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
SOUTH CAROLINA,2018,4,,-,3,,9,,9,,11,,,-,224,,955,,,-,810,,,-,2,,12,,,-,25,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW MEXICO,2018,4,,-,1,,6,,2,,6,,19,,83,,161,,149,,267,,,-,1,,4,,2,,6,,"NEW MEXICO
(34.520396, -106.244402)",
RHODE ISLAND,2018,4,,-,1,,3,,,-,,-,17,,16,,99,,27,,11,,,-,0,,7,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MINNESOTA,2018,5,,-,0,,0,,,-,,-,,-,122,,186,,,-,595,,,-,0,,3,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
WISCONSIN,2018,5,1,,9,,46,,26,,33,,118,,153,,203,,722,,679,,,-,1,,4,,,-,13,,"WISCONSIN
(44.395526, -89.834513)",
UTAH,2018,5,1,,3,,12,,12,,15,,29,,47,,138,,194,,221,,,-,1,,4,,6,,8,,"UTAH
(39.359772, -111.584173)",
MISSOURI,2018,5,3,,4,,13,,14,,21,,249,,255,,345,,1405,,1176,,2,,2,,10,,26,,18,,"MISSOURI
(38.636168, -92.566292)",
UNITED STATES,2018,5,100,,249,,370,,543,,1082,,4739,,10206,,11490,,30287,,49086,,57,,97,,198,,434,,549,,,
NEW ENGLAND,2018,5,4,,18,,40,,30,,73,,13,,262,,353,,570,,989,,,-,5,,17,,19,,28,,,
NEW YORK CITY,2018,5,25,,18,,29,,100,,75,,302,,458,,534,,1971,,2178,,7,,2,,6,,18,,10,,,
MISSISSIPPI,2018,5,,N,0,,0,,,N,,N,179,,173,,336,,554,,429,,2,,1,,5,,11,,9,,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH DAKOTA,2018,5,,-,0,,4,,,-,2,,,-,18,,27,,,-,60,,,-,0,,2,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
MAINE,2018,5,3,,2,,7,,5,,5,,,-,0,,32,,,-,52,,,-,0,,2,,4,,3,,"MAINE
(45.252223, -68.986647)",
VIRGINIA,2018,5,5,,4,,16,,24,,11,,227,,240,,352,,978,,979,,1,,2,,15,,6,,13,,"VIRGINIA
(37.542699, -78.45822)",
C.N.M.I.,2018,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
ARKANSAS,2018,5,3,,3,,7,,7,,6,,,-,84,,319,,,-,169,,1,,1,,11,,2,,5,,"ARKANSAS
(34.748745, -92.275105)",
ILLINOIS,2018,5,,N,0,,0,,,N,,N,,-,318,,451,,444,,2217,,,-,4,,11,,1,,28,,"ILLINOIS
(40.477092, -88.993221)",
IOWA,2018,5,1,,4,,15,,9,,19,,16,,69,,98,,316,,308,,,-,0,,1,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEVADA,2018,5,,-,1,,3,,,-,4,,,-,92,,123,,6,,403,,,-,0,,3,,1,,6,,"NEVADA
(39.491833, -117.070159)",
VIRGIN ISL.,2018,5,,-,0,,0,,,-,,-,,-,0,,3,,,-,1,,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
LOUISIANA,2018,5,,-,0,,8,,,-,1,,234,,202,,511,,368,,875,,,-,0,,4,,2,,9,,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2018,5,2,,3,,6,,13,,18,,142,,238,,451,,574,,959,,4,,2,,8,,16,,20,,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2018,5,6,,45,,76,,24,,222,,183,,1463,,1693,,5716,,7054,,,-,1,,4,,6,,7,,"CALIFORNIA
(37.640735, -121.002435)",
HAWAII,2018,5,,-,1,,5,,1,,5,,,-,25,,47,,,-,131,,,-,0,,3,,1,,5,,"HAWAII
(21.30992, -157.858158)",
KENTUCKY,2018,5,,N,0,,0,,,N,,N,,-,143,,230,,,-,688,,2,,2,,6,,14,,12,,"KENTUCKY
(37.64591, -84.774043)",
S. ATLANTIC,2018,5,11,,37,,68,,100,,216,,798,,2288,,3007,,5668,,10358,,16,,22,,45,,114,,153,,,
OHIO,2018,5,19,,6,,27,,52,,40,,199,,441,,531,,1781,,2289,,3,,5,,13,,33,,22,,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2018,5,2,,9,,31,,15,,41,,43,,271,,358,,622,,1408,,,-,3,,9,,13,,19,,"MICHIGAN
(44.66399, -84.711206)",
E.S. CENTRAL,2018,5,,-,3,,10,,7,,20,,236,,756,,1048,,1359,,3390,,4,,7,,19,,52,,49,,,
CONNECTICUT,2018,5,1,,4,,9,,10,,19,,,-,75,,122,,,-,245,,,-,1,,6,,1,,6,,"CONNECTICUT
(41.544654, -72.651713)",
WASHINGTON,2018,5,1,,7,,87,,4,,4,,130,,143,,230,,766,,624,,,-,0,,3,,1,,,-,"WASHINGTON
(47.517368, -120.467672)",
TEXAS,2018,5,,N,0,,0,,,N,,N,1226,,875,,1084,,1668,,4569,,8,,7,,45,,28,,14,,"TEXAS
(31.827233, -99.423022)",
IDAHO,2018,5,2,,2,,9,,4,,14,,,-,18,,39,,48,,77,,,-,1,,2,,2,,1,,"IDAHO
(43.680635, -114.364237)",
AMER. SAMOA,2018,5,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
DELAWARE,2018,5,,-,0,,3,,,-,,-,,-,33,,54,,93,,178,,,-,0,,2,,2,,5,,"DELAWARE
(39.008676, -75.574561)",
NEBRASKA,2018,5,1,,2,,6,,9,,15,,15,,48,,84,,123,,210,,2,,1,,3,,3,,9,,"NEBRASKA
(41.640503, -99.367122)",
MID. ATLANTIC,2018,5,38,,48,,74,,173,,206,,816,,1147,,1327,,4857,,6224,,15,,16,,30,,74,,64,,,
RHODE ISLAND,2018,5,,-,1,,3,,,-,3,,13,,17,,103,,42,,23,,,-,0,,7,,1,,,-,"RHODE ISLAND
(41.707447, -71.522488)",
GUAM,2018,5,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.3532, 144.653198)",
INDIANA,2018,5,,-,3,,8,,7,,10,,120,,222,,302,,865,,1039,,,-,3,,8,,7,,11,,"INDIANA
(39.76845, -86.156212)",
NEW MEXICO,2018,5,,-,1,,6,,2,,8,,15,,84,,163,,196,,352,,,-,1,,4,,2,,7,,"NEW MEXICO
(34.520396, -106.244402)",
MARYLAND,2018,5,4,,3,,8,,8,,18,,68,,194,,347,,365,,589,,1,,2,,7,,22,,22,,"MARYLAND
(39.290443, -76.612333)",
GEORGIA,2018,5,2,,7,,19,,16,,54,,163,,412,,504,,1402,,2300,,1,,4,,12,,17,,29,,"GEORGIA
(32.836038, -83.631709)",
OKLAHOMA,2018,5,,N,0,,0,,,N,,N,21,,139,,210,,344,,748,,1,,2,,5,,8,,13,,"OKLAHOMA
(35.468494, -97.521264)",
PUERTO RICO,2018,5,,-,0,,1,,,-,,-,3,,10,,25,,17,,55,,,-,0,,2,,,-,1,,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2018,5,,N,0,,0,,,N,,N,,-,3,,14,,,-,22,,,-,0,,2,,3,,1,,"VERMONT
(43.622479, -72.51927)",
COLORADO,2018,5,,-,10,,19,,,-,42,,46,,163,,259,,676,,755,,,-,1,,5,,,-,14,,"COLORADO
(38.841772, -106.132562)",
E.N. CENTRAL,2018,5,22,,29,,87,,100,,124,,480,,1410,,1655,,4434,,7632,,3,,17,,30,,54,,93,,,
SOUTH DAKOTA,2018,5,,-,2,,4,,3,,11,,,-,20,,36,,71,,100,,,-,0,,3,,1,,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
PACIFIC,2018,5,11,,66,,103,,52,,249,,401,,1736,,2119,,7056,,8409,,1,,4,,10,,21,,23,,,
ALASKA,2018,5,,-,1,,7,,1,,6,,,-,41,,60,,14,,148,,,-,0,,2,,,-,1,,"ALASKA
(64.836661, -147.738891)",
ALABAMA,2018,5,,-,3,,10,,7,,20,,,-,225,,361,,495,,1041,,,-,2,,6,,8,,8,,"ALABAMA
(32.839182, -86.631125)",
NORTH CAROLINA,2018,5,,-,0,,0,,,-,,-,,-,431,,508,,308,,2058,,,-,3,,12,,12,,22,,"NORTH CAROLINA
(35.47995, -79.180571)",
MONTANA,2018,5,1,,2,,7,,7,,4,,,-,14,,31,,36,,85,,,-,0,,3,,2,,3,,"MONTANA
(47.062617, -109.430168)",
NEW HAMPSHIRE,2018,5,,-,2,,5,,3,,6,,,-,9,,18,,,-,65,,,-,0,,2,,3,,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2018,5,,-,3,,15,,,-,37,,55,,181,,252,,647,,868,,,-,3,,7,,9,,14,,"NEW JERSEY
(40.104655, -74.386686)",
W.S. CENTRAL,2018,5,3,,4,,14,,7,,7,,1481,,1324,,1645,,2380,,6361,,10,,10,,57,,40,,41,,,
SOUTH CAROLINA,2018,5,,-,3,,9,,11,,13,,1,,228,,955,,1,,1048,,,-,2,,12,,,-,25,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MOUNTAIN,2018,5,6,,22,,45,,38,,108,,234,,662,,961,,1757,,2883,,4,,8,,21,,29,,59,,,
TENNESSEE,2018,5,,N,0,,0,,,N,,N,57,,230,,321,,310,,1232,,,-,3,,8,,19,,20,,"TENNESSEE
(35.681402, -85.774444)",
DIST. OF COL.,2018,5,,-,0,,2,,1,,4,,30,,84,,207,,370,,441,,,-,0,,1,,1,,3,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
PENNSYLVANIA,2018,5,2,,10,,22,,29,,37,,265,,301,,518,,1358,,2350,,4,,5,,14,,30,,30,,"PENNSYLVANIA
(40.789676, -77.858055)",
FLORIDA,2018,5,,-,17,,32,,38,,103,,309,,633,,832,,2151,,2633,,13,,5,,14,,48,,29,,"FLORIDA
(28.915325, -81.922409)",
MASSACHUSETTS,2018,5,,-,10,,21,,12,,40,,,-,151,,204,,528,,582,,,-,2,,10,,7,,17,,"MASSACHUSETTS
(42.268546, -72.085064)",
OREGON,2018,5,4,,6,,16,,22,,12,,88,,99,,149,,560,,452,,1,,2,,7,,13,,10,,"OREGON
(44.567912, -120.156945)",
WYOMING,2018,5,,-,0,,3,,,-,3,,2,,8,,15,,27,,31,,,-,0,,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KANSAS,2018,5,,-,2,,5,,1,,11,,,-,87,,115,,291,,391,,,-,1,,5,,1,,10,,"KANSAS
(38.345528, -98.201847)",
NEW YORK,2018,5,11,,15,,29,,44,,57,,194,,207,,350,,881,,828,,4,,5,,22,,17,,10,,"NEW YORK
(42.826892, -75.544286)",
W.N. CENTRAL,2018,5,5,,14,,31,,36,,79,,280,,604,,791,,2206,,2840,,4,,5,,13,,31,,39,,,
WEST VIRGINIA,2018,5,,-,1,,4,,2,,13,,,-,23,,40,,,-,132,,,-,1,,6,,6,,5,,"WEST VIRGINIA
(38.668501, -80.709421)",
OREGON,2018,6,7,,6,,16,,29,,14,,111,,97,,149,,672,,527,,,-,2,,7,,14,,17,,"OREGON
(44.567912, -120.156945)",
FLORIDA,2018,6,12,,17,,32,,50,,121,,315,,628,,839,,2751,,3234,,,-,5,,14,,48,,31,,"FLORIDA
(28.915325, -81.922409)",
