Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2
CONNECTICUT,2019,10,,-,8,,13,,10,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2019,10,1,,10,,4,,5,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MIDDLE ATLANTIC,2019,10,12,,51,,164,,118,,,-,23,,1,,4,,MIDDLE ATLANTIC,
SOUTH DAKOTA,2019,10,,-,15,,11,,12,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
U.S. VIRGIN ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
GUAM,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2019,10,2,,17,,36,,42,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
MOUNTAIN,2019,10,4,,59,,66,,91,,,-,10,,1,,3,,,MOUNTAIN
ALABAMA,2019,10,,-,8,,30,,26,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2019,10,,-,21,,,-,32,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEW YORK CITY,2019,10,,-,12,,43,,20,,,-,11,,1,,2,,,NEW YORK CITY
NORTH DAKOTA,2019,11,,-,4,,1,,7,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
LOUISIANA,2019,11,,-,4,,1,,28,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2019,11,3,,10,,20,,10,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2019,11,,-,27,,,-,91,,,-,9,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
WEST SOUTH CENTRAL,2019,11,4,,61,,97,,138,,,-,49,,,-,2,,,WEST SOUTH CENTRAL
NEW JERSEY,2019,11,1,,12,,17,,14,,,-,8,,1,,3,,"NEW JERSEY
(40.104655, -74.386686)",
MOUNTAIN,2019,11,3,,59,,79,,98,,,-,10,,1,,3,,,MOUNTAIN
OREGON,2019,11,3,,14,,45,,79,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
INDIANA,2019,11,,-,21,,,-,39,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
PACIFIC,2019,11,8,,45,,151,,182,,,-,26,,1,,,-,,PACIFIC
EAST NORTH CENTRAL,2019,11,16,,119,,250,,323,,,-,455,,2,,2,,,EAST NORTH CENTRAL
MICHIGAN,2019,11,,-,16,,41,,46,,,-,5,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2019,11,,-,7,,12,,13,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
GUAM,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
AMERICAN SAMOA,2019,11,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
ALASKA,2019,11,,-,1,,,-,1,,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
ARKANSAS,2019,11,1,,8,,20,,11,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
US RESIDENTS,2019,11,49,,432,,1171,,1474,,2,,573,,13,,20,,,US RESIDENTS
ALABAMA,2019,11,2,,8,,35,,29,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2019,11,,-,18,,27,,31,,,-,6,,,-,3,,"MASSACHUSETTS
(42.268546, -72.085064)",
MISSOURI,2019,11,1,,19,,37,,45,,1,,29,,2,,,-,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2019,11,,-,15,,15,,13,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
RHODE ISLAND,2019,11,,-,37,,2,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2019,11,,-,8,,2,,17,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NON-US RESIDENTS,2019,11,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
HAWAII,2019,11,,-,1,,2,,2,,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
KANSAS,2019,11,,-,6,,10,,9,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
US TERRITORIES,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
GEORGIA,2019,11,1,,26,,45,,47,,,-,8,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
MIDDLE ATLANTIC,2019,11,6,,51,,173,,131,,,-,23,,3,,5,,MIDDLE ATLANTIC,
WISCONSIN,2019,11,8,,48,,73,,95,,,-,133,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
MONTANA,2019,11,,-,5,,2,,7,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
OHIO,2019,11,8,,36,,93,,115,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
VIRGINIA,2019,11,3,,17,,42,,45,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
WASHINGTON,2019,11,2,,35,,28,,11,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
SOUTH ATLANTIC,2019,11,5,,71,,146,,259,,,-,27,,3,,2,,,SOUTH ATLANTIC
NEBRASKA,2019,11,1,,9,,20,,17,,1,,5,,1,,,-,"NEBRASKA
(41.640503, -99.367122)",
DISTRICT OF COLUMBIA,2019,11,,-,3,,1,,8,,,-,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEVADA,2019,11,,-,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
MAINE,2019,11,1,,6,,1,,7,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH CAROLINA,2019,11,,-,12,,24,,35,,,-,6,,1,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
UTAH,2019,11,,-,17,,15,,16,,,-,4,,,-,1,,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2019,11,,-,20,,68,,66,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2019,11,,-,7,,15,,8,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
WEST VIRGINIA,2019,11,,-,4,,6,,1,,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2019,11,,-,10,,4,,7,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
COLORADO,2019,11,1,,11,,15,,30,,,-,6,,,-,1,,"COLORADO
(38.841772, -106.132562)",
TEXAS,2019,11,,-,53,,56,,89,,,-,40,,,-,2,,"TEXAS
(31.827233, -99.423022)",
ARIZONA,2019,11,,-,28,,24,,18,,,-,2,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
MARYLAND,2019,11,1,,7,,7,,8,,,-,7,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
VERMONT,2019,11,,-,10,,5,,6,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
WEST NORTH CENTRAL,2019,11,4,,68,,138,,170,,2,,87,,3,,3,,,WEST NORTH CENTRAL
IDAHO,2019,11,2,,7,,16,,18,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
TENNESSEE,2019,11,,-,10,,21,,46,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
CALIFORNIA,2019,11,3,,26,,76,,89,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
TOTAL,2019,11,49,,432,,1171,,1474,,2,,573,,13,,20,,,TOTAL
PUERTO RICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2019,11,,-,21,,43,,28,,,-,397,,1,,1,,"ILLINOIS
(40.477092, -88.993221)",
EAST SOUTH CENTRAL,2019,11,2,,20,,70,,105,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
IOWA,2019,11,2,,40,,55,,79,,,-,75,,,-,3,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2019,11,,-,8,,17,,10,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
U.S. VIRGIN ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
DELAWARE,2019,11,,-,2,,,-,3,,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
SOUTH CAROLINA,2019,11,,-,6,,21,,21,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW ENGLAND,2019,11,1,,48,,67,,68,,,-,10,,,-,3,,,NEW ENGLAND
NEW YORK,2019,11,5,,20,,43,,28,,,-,9,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
WYOMING,2019,11,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEW YORK CITY,2019,11,,-,12,,45,,23,,,-,11,,2,,2,,,NEW YORK CITY
MONTANA,2019,12,,-,5,,2,,7,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
SOUTH CAROLINA,2019,12,,-,6,,21,,24,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST NORTH CENTRAL,2019,12,9,,68,,154,,196,,,-,87,,3,,4,,,WEST NORTH CENTRAL
MAINE,2019,12,,-,6,,1,,9,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
OREGON,2019,12,2,,14,,50,,89,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
DELAWARE,2019,12,,-,3,,,-,9,,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2019,12,2,,53,,80,,91,,,-,40,,,-,2,,"TEXAS
(31.827233, -99.423022)",
KENTUCKY,2019,12,1,,8,,14,,30,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2019,12,,-,6,,3,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
PACIFIC,2019,12,8,,45,,176,,200,,,-,26,,1,,,-,,PACIFIC
DISTRICT OF COLUMBIA,2019,12,,-,3,,3,,10,,,-,3,,,-,1,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ALASKA,2019,12,,-,2,,,-,1,,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2019,12,3,,18,,30,,33,,,-,6,,,-,3,,"MASSACHUSETTS
(42.268546, -72.085064)",
IOWA,2019,12,2,,40,,62,,97,,,-,75,,,-,3,,"IOWA
(42.46942, -93.815856)",
GEORGIA,2019,12,2,,26,,48,,49,,,-,8,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
ARKANSAS,2019,12,2,,8,,22,,13,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MIDDLE ATLANTIC,2019,12,8,,51,,189,,139,,,-,24,,3,,5,,MIDDLE ATLANTIC,
NEW JERSEY,2019,12,,-,12,,20,,15,,,-,8,,1,,3,,"NEW JERSEY
(40.104655, -74.386686)",
CONNECTICUT,2019,12,1,,8,,19,,10,,,-,6,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
UTAH,2019,12,1,,18,,22,,17,,,-,5,,,-,1,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2019,12,,-,27,,,-,106,,,-,9,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
SOUTH DAKOTA,2019,12,,-,15,,17,,14,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH CAROLINA,2019,12,,-,12,,32,,36,,,-,6,,1,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WISCONSIN,2019,12,3,,48,,81,,106,,,-,133,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
NEW HAMPSHIRE,2019,12,,-,7,,16,,10,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK,2019,12,4,,20,,47,,30,,,-,11,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NORTHERN MARIANA ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
US TERRITORIES,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
ARIZONA,2019,12,,-,28,,25,,21,,,-,2,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2019,12,,-,6,,10,,9,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
IDAHO,2019,12,2,,7,,18,,20,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2019,12,,-,21,,43,,30,,,-,397,,1,,2,,"ILLINOIS
(40.477092, -88.993221)",
LOUISIANA,2019,12,1,,9,,3,,30,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
EAST NORTH CENTRAL,2019,12,13,,119,,274,,357,,,-,455,,2,,3,,,EAST NORTH CENTRAL
WEST VIRGINIA,2019,12,,-,6,,6,,9,,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
MOUNTAIN,2019,12,4,,59,,93,,109,,,-,12,,1,,3,,,MOUNTAIN
MICHIGAN,2019,12,,-,16,,47,,53,,,-,5,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
GUAM,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
COLORADO,2019,12,1,,11,,17,,33,,,-,6,,,-,1,,"COLORADO
(38.841772, -106.132562)",
RHODE ISLAND,2019,12,,-,37,,2,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH DAKOTA,2019,12,,-,4,,1,,7,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2019,12,4,,20,,73,,70,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
MISSISSIPPI,2019,12,,-,8,,11,,17,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
WYOMING,2019,12,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
WASHINGTON,2019,12,1,,35,,38,,12,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
NEW MEXICO,2019,12,,-,10,,6,,9,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
INDIANA,2019,12,,-,21,,,-,40,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VERMONT,2019,12,,-,10,,5,,6,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
TOTAL,2019,12,64,,437,,1338,,1654,,1,,576,,14,,22,,,TOTAL
MISSOURI,2019,12,2,,19,,39,,49,,,-,30,,2,,,-,"MISSOURI
(38.636168, -92.566292)",
OHIO,2019,12,10,,36,,103,,128,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW ENGLAND,2019,12,4,,48,,73,,74,,,-,10,,,-,3,,,NEW ENGLAND
WEST SOUTH CENTRAL,2019,12,6,,64,,126,,146,,,-,49,,,-,2,,,WEST SOUTH CENTRAL
NEBRASKA,2019,12,5,,9,,25,,20,,,-,5,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
U.S. VIRGIN ISLANDS,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
AMERICAN SAMOA,2019,12,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
OKLAHOMA,2019,12,1,,10,,21,,12,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
EAST SOUTH CENTRAL,2019,12,1,,22,,83,,129,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
ALABAMA,2019,12,,-,8,,35,,33,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2019,12,,-,1,,2,,2,,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
VIRGINIA,2019,12,6,,17,,50,,52,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2019,12,3,,7,,10,,9,,1,,7,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
NON-US RESIDENTS,2019,12,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
CALIFORNIA,2019,12,5,,26,,86,,96,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
NEW YORK CITY,2019,12,,-,12,,49,,24,,,-,11,,2,,2,,,NEW YORK CITY
MINNESOTA,2019,12,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
TENNESSEE,2019,12,,-,10,,23,,49,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
US RESIDENTS,2019,12,64,,437,,1338,,1654,,1,,576,,14,,22,,,US RESIDENTS
SOUTH ATLANTIC,2019,12,11,,73,,170,,304,,1,,27,,4,,2,,,SOUTH ATLANTIC
IOWA,2019,13,3,,40,,72,,107,,,-,75,,,-,3,,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2019,13,,-,6,,23,,25,,,-,1,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NON-US RESIDENTS,2019,13,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
LOUISIANA,2019,13,2,,9,,5,,33,,,-,2,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
US TERRITORIES,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
RHODE ISLAND,2019,13,,-,37,,3,,6,,,-,2,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2019,13,,-,8,,22,,13,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MONTANA,2019,13,,-,5,,5,,11,,,-,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
CONNECTICUT,2019,13,1,,8,,20,,11,,,-,6,,,-,1,,"CONNECTICUT
(41.544654, -72.651713)",
MIDDLE ATLANTIC,2019,13,8,,51,,214,,147,,,-,24,,5,,5,,MIDDLE ATLANTIC,
SOUTH ATLANTIC,2019,13,5,,73,,180,,331,,,-,27,,4,,3,,,SOUTH ATLANTIC
GEORGIA,2019,13,,-,26,,48,,56,,,-,8,,1,,,-,"GEORGIA
(32.836038, -83.631709)",
NEW YORK CITY,2019,13,,-,12,,59,,28,,,-,11,,4,,2,,,NEW YORK CITY
ALABAMA,2019,13,,-,8,,35,,37,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
INDIANA,2019,13,,-,21,,,-,43,,,-,21,,,-,,-,"INDIANA
(39.76845, -86.156212)",
OREGON,2019,13,3,,14,,53,,93,,,-,2,,,-,,-,"OREGON
(44.567912, -120.156945)",
NEW ENGLAND,2019,13,3,,48,,78,,79,,,-,10,,,-,4,,,NEW ENGLAND
AMERICAN SAMOA,2019,13,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA
NORTH CAROLINA,2019,13,,-,12,,32,,36,,,-,6,,1,,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
WEST NORTH CENTRAL,2019,13,10,,68,,176,,224,,,-,87,,3,,4,,,WEST NORTH CENTRAL
SOUTH DAKOTA,2019,13,3,,15,,23,,19,,,-,12,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2019,13,,-,6,,4,,1,,,N,,NC,,N,,N,"NEVADA
(39.491833, -117.070159)",
COLORADO,2019,13,,-,11,,17,,34,,,-,6,,,-,2,,"COLORADO
(38.841772, -106.132562)",
EAST SOUTH CENTRAL,2019,13,3,,22,,92,,141,,,-,3,,,-,,-,,EAST SOUTH CENTRAL
U.S. VIRGIN ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2019,13,2,,10,,8,,10,,,-,1,,,-,,-,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2019,13,,-,27,,,-,113,,,-,9,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
MICHIGAN,2019,13,,-,16,,47,,58,,,-,5,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
CALIFORNIA,2019,13,1,,26,,89,,99,,,-,23,,1,,,-,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2019,13,6,,48,,92,,111,,,-,141,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
MASSACHUSETTS,2019,13,1,,18,,30,,34,,,-,6,,,-,3,,"MASSACHUSETTS
(42.268546, -72.085064)",
ILLINOIS,2019,13,,-,21,,48,,35,,,-,397,,2,,2,,"ILLINOIS
(40.477092, -88.993221)",
VERMONT,2019,13,1,,10,,7,,7,,,-,0,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MOUNTAIN,2019,13,4,,59,,103,,120,,,-,12,,1,,4,,,MOUNTAIN
PACIFIC,2019,13,4,,45,,183,,208,,,-,26,,1,,,-,,PACIFIC
KENTUCKY,2019,13,,-,8,,14,,33,,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
US RESIDENTS,2019,13,64,,437,,1468,,1793,,,-,576,,18,,25,,,US RESIDENTS
PENNSYLVANIA,2019,13,3,,20,,79,,72,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2019,13,11,,36,,114,,141,,,-,23,,,-,,-,"OHIO
(40.056807, -82.405897)",
NEW YORK,2019,13,4,,20,,51,,31,,,-,11,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
EAST NORTH CENTRAL,2019,13,17,,119,,301,,388,,,-,455,,3,,3,,,EAST NORTH CENTRAL
WYOMING,2019,13,,-,2,,,-,1,,,-,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
TENNESSEE,2019,13,2,,10,,28,,51,,,-,3,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
NORTHERN MARIANA ISLANDS,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DELAWARE,2019,13,,-,3,,,-,9,,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MISSISSIPPI,2019,13,1,,8,,15,,20,,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
ALASKA,2019,13,,-,2,,,-,1,,,-,1,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GUAM,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
TEXAS,2019,13,7,,53,,92,,96,,,-,40,,1,,2,,"TEXAS
(31.827233, -99.423022)",
HAWAII,2019,13,,-,1,,2,,2,,,-,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
WASHINGTON,2019,13,,-,35,,39,,13,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
KANSAS,2019,13,,-,6,,10,,9,,,-,4,,,-,,-,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
NEW HAMPSHIRE,2019,13,,-,7,,16,,12,,,-,2,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
DISTRICT OF COLUMBIA,2019,13,,-,3,,3,,10,,,-,2,,,-,2,,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
TOTAL,2019,13,64,,437,,1468,,1793,,,-,576,,18,,25,,,TOTAL
NEW JERSEY,2019,13,1,,12,,25,,16,,,-,8,,1,,3,,"NEW JERSEY
(40.104655, -74.386686)",
UTAH,2019,13,,-,18,,23,,18,,,-,5,,,-,1,,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2019,13,3,,9,,30,,20,,,-,5,,1,,1,,"NEBRASKA
(41.640503, -99.367122)",
IDAHO,2019,13,2,,7,,21,,23,,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
MAINE,2019,13,,-,6,,2,,9,,,-,0,,,-,,-,"MAINE
(45.252223, -68.986647)",
NORTH DAKOTA,2019,13,,-,4,,1,,9,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.475879, -100.121011)",
MINNESOTA,2019,13,,-,0,,,-,,-,,-,0,,,-,,-,"MINNESOTA
(46.357661, -94.793397)",
MARYLAND,2019,13,2,,7,,14,,9,,,-,7,,1,,,-,"MARYLAND
(39.290443, -76.612333)",
WEST VIRGINIA,2019,13,,-,6,,6,,9,,,-,2,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
OKLAHOMA,2019,13,1,,10,,22,,13,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
VIRGINIA,2019,13,3,,17,,54,,64,,,-,5,,1,,,-,"VIRGINIA
(37.542699, -78.45822)",
ARIZONA,2019,13,,-,28,,25,,22,,,-,2,,1,,,-,"ARIZONA
(34.869712, -111.760902)",
WEST SOUTH CENTRAL,2019,13,10,,64,,141,,155,,,-,49,,1,,2,,,WEST SOUTH CENTRAL
MISSOURI,2019,13,1,,19,,40,,60,,,-,30,,2,,,-,"MISSOURI
(38.636168, -92.566292)",
WISCONSIN,2019,14,5,,48,,98,,130,,,-,141,,,-,1,,"WISCONSIN
(44.395526, -89.834513)",
FLORIDA,2019,14,,-,27,,,-,121,,,-,9,,,-,1,,"FLORIDA
(28.915325, -81.922409)",
NEW YORK CITY,2019,14,,-,12,,61,,30,,,-,11,,4,,3,,,NEW YORK CITY
MICHIGAN,2019,14,2,,16,,60,,59,,,-,5,,1,,,-,"MICHIGAN
(44.66399, -84.711206)",
ARKANSAS,2019,14,,-,8,,22,,13,,,-,1,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
TEXAS,2019,14,1,,53,,102,,108,,,-,40,,2,,2,,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2019,14,,-,8,,42,,41,,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
EAST NORTH CENTRAL,2019,14,14,,119,,330,,429,,,-,455,,4,,3,,,EAST NORTH CENTRAL
OKLAHOMA,2019,14,1,,10,,23,,16,,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2019,14,1,,35,,40,,15,,,-,3,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
