Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2019†","Cryptosporidiosis, Cum 2019†, flag","Cryptosporidiosis, Cum 2018†","Cryptosporidiosis, Cum 2018†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2019†","Cyclosporiasis, Cum 2019†, flag","Cyclosporiasis, Cum 2018†","Cyclosporiasis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH CAROLINA,2019,43,1,,7,,90,,97,,,-,4,,22,,5,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194335
VIRGINIA,2019,43,,-,19,,337,,255,,,-,51,,198,,20,,"VIRGINIA
(37.510861, -78.666382)",,20194336
WEST VIRGINIA,2019,43,,-,4,,13,,57,,,-,0,,,-,5,,"WEST VIRGINIA
(38.642579, -80.613729)",,20194337
EAST SOUTH CENTRAL,2019,43,,-,31,,525,,579,,,-,17,,56,,26,,,EAST SOUTH CENTRAL,20194338
ALABAMA,2019,43,,-,14,,166,,134,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20194339
KENTUCKY,2019,43,,-,9,,110,,157,,,-,0,,,-,8,,"KENTUCKY
(37.526683, -85.290484)",,20194340
MISSISSIPPI,2019,43,,-,8,,68,,71,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20194341
TENNESSEE,2019,43,,-,12,,181,,217,,,-,17,,56,,18,,"TENNESSEE
(35.842998, -86.343226)",,20194342
WEST SOUTH CENTRAL,2019,43,6,,75,,1036,,1095,,,-,105,,859,,355,,,WEST SOUTH CENTRAL,20194343
ARKANSAS,2019,43,,-,9,,112,,70,,,-,7,,35,,5,,"ARKANSAS
(34.899825, -92.439162)",,20194344
LOUISIANA,2019,43,,-,10,,141,,130,,,-,11,,35,,9,,"LOUISIANA
(30.921314, -91.840238)",,20194345
OKLAHOMA,2019,43,6,,23,,135,,111,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20194346
TEXAS,2019,43,,-,49,,648,,784,,,-,102,,789,,341,,"TEXAS
(31.447238, -99.317341)",,20194347
MOUNTAIN,2019,43,9,,34,,778,,840,,,-,15,,106,,89,,,MOUNTAIN,20194348
ARIZONA,2019,43,3,,8,,123,,177,,,-,5,,17,,10,,"ARIZONA
(34.293239, -111.664616)",,20194349
COLORADO,2019,43,3,,14,,215,,183,,,-,10,,51,,45,,"COLORADO
(38.998552, -105.547832)",,20194350
IDAHO,2019,43,,-,6,,104,,102,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20194351
MONTANA,2019,43,,-,5,,53,,76,,,-,1,,2,,9,,"MONTANA
(47.033521, -109.645127)",,20194352
NEVADA,2019,43,,-,4,,30,,33,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20194353
NEW MEXICO,2019,43,,-,7,,63,,83,,,-,5,,16,,2,,"NEW MEXICO
(34.421369, -106.108388)",,20194354
UTAH,2019,43,3,,14,,168,,173,,,-,3,,17,,20,,"UTAH
(39.323779, -111.678222)",,20194355
WYOMING,2019,43,,-,5,,22,,13,,,-,1,,3,,3,,"WYOMING
(42.999627, -107.55145)",,20194356
PACIFIC,2019,43,4,,214,,933,,839,,,-,23,,60,,173,,,PACIFIC,20194357
ALASKA,2019,43,,-,2,,7,,13,,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20194358
CALIFORNIA,2019,43,1,,28,,525,,553,,,-,7,,43,,168,,"CALIFORNIA
(37.211164, -119.662127)",,20194359
HAWAII,2019,43,,-,1,,6,,7,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20194360
OREGON,2019,43,,-,14,,214,,266,,,-,1,,5,,2,,"OREGON
(43.940449, -120.605279)",,20194361
WASHINGTON,2019,43,3,,198,,181,,,-,,-,23,,12,,,-,"WASHINGTON
(47.411715, -120.592492)",,20194362
US TERRITORIES,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194363
AMERICAN SAMOA,2019,43,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20194364
NORTHERN MARIANA ISLANDS,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194365
GUAM,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194366
PUERTO RICO,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194367
U.S. VIRGIN ISLANDS,2019,43,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194368
NON-US RESIDENTS,2019,43,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194369
TOTAL,2019,43,74,,450,,9592,,10645,,,-,515,,3893,,3454,,,TOTAL,20194370
US RESIDENTS,2019,44,110,,450,,10301,,10863,,4,,532,,4171,,3455,,,US RESIDENTS,20194401
NEW ENGLAND,2019,44,1,,26,,452,,559,,,-,91,,354,,69,,,NEW ENGLAND,20194402
CONNECTICUT,2019,44,,-,6,,63,,66,,,-,26,,102,,27,,"CONNECTICUT
(41.575155, -72.738288)",,20194403
MAINE,2019,44,,-,12,,60,,53,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194404
MASSACHUSETTS,2019,44,1,,15,,198,,216,,,-,60,,207,,33,,"MASSACHUSETTS
(42.151077, -71.481104)",,20194405
NEW HAMPSHIRE,2019,44,,-,7,,58,,80,,,-,2,,9,,6,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194406
RHODE ISLAND,2019,44,,-,7,,52,,81,,,-,5,,30,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20194407
VERMONT,2019,44,,-,3,,21,,63,,,-,5,,6,,,-,"VERMONT
(44.075252, -72.662695)",,20194408
MIDDLE ATLANTIC,2019,44,15,,66,,1358,,1022,,,-,151,,671,,202,,,MIDDLE ATLANTIC,20194409
NEW JERSEY,2019,44,1,,16,,216,,134,,,-,36,,185,,58,,"NEW JERSEY
(40.110253, -74.655514)",,20194410
NEW YORK,2019,44,11,,27,,420,,277,,,-,85,,296,,60,,"NEW YORK
(42.921241, -75.59655)",,20194411
NEW YORK CITY,2019,44,,-,18,,306,,200,,,-,44,,190,,84,,,NEW YORK CITY,20194412
PENNSYLVANIA,2019,44,3,,20,,416,,411,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20194413
EAST NORTH CENTRAL,2019,44,23,,108,,1869,,2384,,,-,116,,531,,1773,,,EAST NORTH CENTRAL,20194414
ILLINOIS,2019,44,,-,24,,334,,383,,,-,51,,162,,1252,,"ILLINOIS
(40.124144, -89.148632)",,20194415
INDIANA,2019,44,,-,11,,,-,281,,,-,0,,,-,79,,"INDIANA
(39.919991, -86.2818)",,20194416
MICHIGAN,2019,44,,-,19,,324,,326,,,-,64,,120,,30,,"MICHIGAN
(44.874798, -85.730977)",,20194417
OHIO,2019,44,21,,32,,604,,580,,,-,37,,141,,92,,"OHIO
(40.415534, -82.70936)",,20194418
WISCONSIN,2019,44,2,,39,,607,,814,,,-,28,,108,,320,,"WISCONSIN
(44.639954, -89.732969)",,20194419
WEST NORTH CENTRAL,2019,44,8,,51,,1205,,1866,,1,,59,,230,,549,,,WEST NORTH CENTRAL,20194420
IOWA,2019,44,,-,30,,476,,618,,,-,47,,118,,211,,"IOWA
(42.074659, -93.500061)",,20194421
KANSAS,2019,44,,-,4,,52,,86,,,-,2,,8,,22,,"KANSAS
(38.484729, -98.38018)",,20194422
MINNESOTA,2019,44,,-,10,,,-,482,,,-,1,,,-,154,,"MINNESOTA
(46.349153, -94.198308)",,20194423
MISSOURI,2019,44,6,,23,,328,,320,,,-,16,,58,,110,,"MISSOURI
(38.3675, -92.477244)",,20194424
NEBRASKA,2019,44,2,,8,,171,,158,,1,,6,,36,,22,,"NEBRASKA
(41.527099, -99.810595)",,20194425
NORTH DAKOTA,2019,44,,-,3,,28,,36,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20194426
SOUTH DAKOTA,2019,44,,-,11,,150,,166,,,-,6,,10,,30,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194427
SOUTH ATLANTIC,2019,44,11,,67,,1679,,1590,,,-,202,,1146,,219,,,SOUTH ATLANTIC,20194428
DELAWARE,2019,44,1,,4,,33,,28,,,-,2,,4,,5,,"DELAWARE
(38.994926, -75.452394)",,20194429
DISTRICT OF COLUMBIA,2019,44,,-,2,,18,,30,,,-,11,,37,,8,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194430
FLORIDA,2019,44,2,,21,,535,,501,,,-,114,,532,,72,,"FLORIDA
(28.260731, -82.420978)",,20194431
GEORGIA,2019,44,5,,22,,307,,307,,,-,14,,70,,31,,"GEORGIA
(32.638481, -83.426574)",,20194432
MARYLAND,2019,44,,-,6,,83,,78,,,-,60,,200,,38,,"MARYLAND
(38.946466, -76.687282)",,20194433
NORTH CAROLINA,2019,44,,-,9,,211,,229,,,-,29,,74,,35,,"NORTH CAROLINA
(35.52603, -79.130883)",,20194434
SOUTH CAROLINA,2019,44,,-,7,,92,,98,,,-,4,,22,,5,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194435
VIRGINIA,2019,44,3,,19,,355,,259,,,-,52,,203,,20,,"VIRGINIA
(37.510861, -78.666382)",,20194436
WEST VIRGINIA,2019,44,,-,4,,45,,60,,,-,2,,4,,5,,"WEST VIRGINIA
(38.642579, -80.613729)",,20194437
EAST SOUTH CENTRAL,2019,44,1,,42,,701,,597,,,-,17,,64,,26,,,EAST SOUTH CENTRAL,20194438
ALABAMA,2019,44,,-,14,,172,,134,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20194439
KENTUCKY,2019,44,,-,18,,264,,164,,,-,0,,,-,8,,"KENTUCKY
(37.526683, -85.290484)",,20194440
MISSISSIPPI,2019,44,1,,8,,76,,79,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20194441
TENNESSEE,2019,44,,-,12,,189,,220,,,-,17,,64,,18,,"TENNESSEE
(35.842998, -86.343226)",,20194442
WEST SOUTH CENTRAL,2019,44,36,,75,,1264,,1134,,3,,125,,1006,,355,,,WEST SOUTH CENTRAL,20194443
ARKANSAS,2019,44,9,,9,,127,,73,,,-,7,,35,,5,,"ARKANSAS
(34.899825, -92.439162)",,20194444
LOUISIANA,2019,44,3,,18,,293,,133,,,-,14,,91,,9,,"LOUISIANA
(30.921314, -91.840238)",,20194445
OKLAHOMA,2019,44,,-,23,,135,,119,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20194446
TEXAS,2019,44,24,,49,,709,,809,,3,,117,,880,,341,,"TEXAS
(31.447238, -99.317341)",,20194447
MOUNTAIN,2019,44,8,,35,,816,,852,,,-,15,,107,,89,,,MOUNTAIN,20194448
ARIZONA,2019,44,5,,8,,130,,177,,,-,5,,17,,10,,"ARIZONA
(34.293239, -111.664616)",,20194449
COLORADO,2019,44,3,,14,,221,,187,,,-,10,,51,,45,,"COLORADO
(38.998552, -105.547832)",,20194450
IDAHO,2019,44,,-,6,,107,,105,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20194451
MONTANA,2019,44,,-,5,,61,,76,,,-,1,,2,,9,,"MONTANA
(47.033521, -109.645127)",,20194452
NEVADA,2019,44,,-,4,,34,,33,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20194453
NEW MEXICO,2019,44,,-,6,,70,,83,,,-,4,,16,,2,,"NEW MEXICO
(34.421369, -106.108388)",,20194454
UTAH,2019,44,,-,14,,170,,177,,,-,3,,17,,20,,"UTAH
(39.323779, -111.678222)",,20194455
WYOMING,2019,44,,-,5,,23,,14,,,-,1,,4,,3,,"WYOMING
(42.999627, -107.55145)",,20194456
PACIFIC,2019,44,7,,214,,957,,859,,,-,23,,62,,173,,,PACIFIC,20194457
ALASKA,2019,44,,-,2,,7,,14,,,-,1,,,-,2,,"ALASKA
(63.631126, -151.631889)",,20194458
CALIFORNIA,2019,44,5,,28,,541,,569,,,-,7,,45,,168,,"CALIFORNIA
(37.211164, -119.662127)",,20194459
HAWAII,2019,44,,-,1,,7,,7,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20194460
OREGON,2019,44,2,,14,,216,,269,,,-,1,,5,,2,,"OREGON
(43.940449, -120.605279)",,20194461
WASHINGTON,2019,44,,-,198,,186,,,-,,-,23,,12,,,-,"WASHINGTON
(47.411715, -120.592492)",,20194462
US TERRITORIES,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194463
AMERICAN SAMOA,2019,44,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20194464
NORTHERN MARIANA ISLANDS,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194465
GUAM,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194466
PUERTO RICO,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194467
U.S. VIRGIN ISLANDS,2019,44,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194468
NON-US RESIDENTS,2019,44,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194469
TOTAL,2019,44,110,,450,,10303,,10863,,4,,532,,4171,,3455,,,TOTAL,20194470
US RESIDENTS,2019,45,110,,450,,10541,,11091,,1,,532,,4179,,3465,,,US RESIDENTS,20194501
NEW ENGLAND,2019,45,3,,26,,459,,573,,,-,91,,354,,70,,,NEW ENGLAND,20194502
CONNECTICUT,2019,45,,-,6,,63,,68,,,-,26,,102,,27,,"CONNECTICUT
(41.575155, -72.738288)",,20194503
MAINE,2019,45,,-,12,,60,,55,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194504
MASSACHUSETTS,2019,45,2,,15,,203,,220,,,-,60,,207,,33,,"MASSACHUSETTS
(42.151077, -71.481104)",,20194505
NEW HAMPSHIRE,2019,45,,-,7,,58,,83,,,-,2,,9,,6,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194506
RHODE ISLAND,2019,45,1,,7,,54,,84,,,-,5,,30,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20194507
VERMONT,2019,45,,-,3,,21,,63,,,-,5,,6,,1,,"VERMONT
(44.075252, -72.662695)",,20194508
MIDDLE ATLANTIC,2019,45,21,,68,,1406,,1049,,,-,151,,672,,203,,,MIDDLE ATLANTIC,20194509
NEW JERSEY,2019,45,,-,17,,224,,139,,,-,36,,185,,59,,"NEW JERSEY
(40.110253, -74.655514)",,20194510
NEW YORK,2019,45,14,,27,,434,,283,,,-,85,,296,,60,,"NEW YORK
(42.921241, -75.59655)",,20194511
NEW YORK CITY,2019,45,2,,18,,317,,207,,,-,44,,191,,84,,,NEW YORK CITY,20194512
PENNSYLVANIA,2019,45,5,,20,,431,,420,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20194513
EAST NORTH CENTRAL,2019,45,9,,108,,1883,,2422,,,-,116,,531,,1773,,,EAST NORTH CENTRAL,20194514
ILLINOIS,2019,45,,-,24,,334,,394,,,-,51,,162,,1252,,"ILLINOIS
(40.124144, -89.148632)",,20194515
INDIANA,2019,45,,-,11,,,-,284,,,-,0,,,-,79,,"INDIANA
(39.919991, -86.2818)",,20194516
MICHIGAN,2019,45,1,,19,,330,,334,,,-,64,,120,,30,,"MICHIGAN
(44.874798, -85.730977)",,20194517
OHIO,2019,45,8,,32,,612,,588,,,-,37,,141,,92,,"OHIO
(40.415534, -82.70936)",,20194518
WISCONSIN,2019,45,,-,39,,607,,822,,,-,28,,108,,320,,"WISCONSIN
(44.639954, -89.732969)",,20194519
WEST NORTH CENTRAL,2019,45,3,,51,,1219,,1890,,,-,60,,231,,549,,,WEST NORTH CENTRAL,20194520
IOWA,2019,45,,-,30,,477,,624,,,-,48,,119,,211,,"IOWA
(42.074659, -93.500061)",,20194521
KANSAS,2019,45,,-,4,,52,,88,,,-,2,,8,,22,,"KANSAS
(38.484729, -98.38018)",,20194522
MINNESOTA,2019,45,,-,10,,,-,491,,,-,1,,,-,154,,"MINNESOTA
(46.349153, -94.198308)",,20194523
MISSOURI,2019,45,3,,23,,339,,325,,,-,16,,58,,110,,"MISSOURI
(38.3675, -92.477244)",,20194524
NEBRASKA,2019,45,,-,8,,171,,159,,,-,6,,36,,22,,"NEBRASKA
(41.527099, -99.810595)",,20194525
NORTH DAKOTA,2019,45,,-,3,,28,,36,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20194526
SOUTH DAKOTA,2019,45,,-,11,,152,,167,,,-,6,,10,,30,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194527
SOUTH ATLANTIC,2019,45,11,,67,,1706,,1635,,,-,203,,1149,,223,,,SOUTH ATLANTIC,20194528
DELAWARE,2019,45,,-,4,,33,,28,,,-,2,,4,,5,,"DELAWARE
(38.994926, -75.452394)",,20194529
DISTRICT OF COLUMBIA,2019,45,,-,2,,18,,32,,,-,11,,37,,8,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194530
FLORIDA,2019,45,,-,21,,535,,517,,,-,114,,532,,73,,"FLORIDA
(28.260731, -82.420978)",,20194531
GEORGIA,2019,45,,-,23,,310,,319,,,-,14,,70,,33,,"GEORGIA
(32.638481, -83.426574)",,20194532
MARYLAND,2019,45,,-,6,,83,,80,,,-,60,,200,,38,,"MARYLAND
(38.946466, -76.687282)",,20194533
NORTH CAROLINA,2019,45,,-,9,,213,,234,,,-,29,,75,,35,,"NORTH CAROLINA
(35.52603, -79.130883)",,20194534
SOUTH CAROLINA,2019,45,2,,7,,94,,101,,,-,4,,22,,6,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194535
VIRGINIA,2019,45,9,,19,,375,,264,,,-,52,,205,,20,,"VIRGINIA
(37.510861, -78.666382)",,20194536
WEST VIRGINIA,2019,45,,-,4,,45,,60,,,-,2,,4,,5,,"WEST VIRGINIA
(38.642579, -80.613729)",,20194537
EAST SOUTH CENTRAL,2019,45,1,,42,,711,,611,,,-,17,,64,,26,,,EAST SOUTH CENTRAL,20194538
ALABAMA,2019,45,,-,14,,172,,136,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20194539
KENTUCKY,2019,45,,-,18,,264,,168,,,-,0,,,-,8,,"KENTUCKY
(37.526683, -85.290484)",,20194540
MISSISSIPPI,2019,45,,-,8,,80,,82,,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20194541
TENNESSEE,2019,45,1,,12,,195,,225,,,-,17,,64,,18,,"TENNESSEE
(35.842998, -86.343226)",,20194542
WEST SOUTH CENTRAL,2019,45,44,,75,,1325,,1158,,1,,125,,1008,,357,,,WEST SOUTH CENTRAL,20194543
ARKANSAS,2019,45,2,,9,,129,,76,,,-,7,,35,,5,,"ARKANSAS
(34.899825, -92.439162)",,20194544
LOUISIANA,2019,45,,-,18,,293,,137,,,-,14,,91,,9,,"LOUISIANA
(30.921314, -91.840238)",,20194545
OKLAHOMA,2019,45,3,,23,,140,,123,,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20194546
TEXAS,2019,45,39,,49,,763,,822,,1,,117,,882,,343,,"TEXAS
(31.447238, -99.317341)",,20194547
MOUNTAIN,2019,45,9,,35,,844,,873,,,-,15,,107,,90,,,MOUNTAIN,20194548
ARIZONA,2019,45,4,,8,,136,,183,,,-,5,,17,,10,,"ARIZONA
(34.293239, -111.664616)",,20194549
COLORADO,2019,45,2,,14,,233,,189,,,-,10,,51,,45,,"COLORADO
(38.998552, -105.547832)",,20194550
IDAHO,2019,45,1,,6,,108,,110,,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20194551
MONTANA,2019,45,,-,5,,61,,78,,,-,1,,2,,9,,"MONTANA
(47.033521, -109.645127)",,20194552
NEVADA,2019,45,,-,4,,35,,34,,,N,,NC,,N,,N,"NEVADA
(39.283294, -114.916992)",,20194553
NEW MEXICO,2019,45,,-,6,,72,,84,,,-,4,,16,,2,,"NEW MEXICO
(34.421369, -106.108388)",,20194554
UTAH,2019,45,2,,14,,176,,180,,,-,3,,17,,21,,"UTAH
(39.323779, -111.678222)",,20194555
WYOMING,2019,45,,-,5,,23,,15,,,-,1,,4,,3,,"WYOMING
(42.999627, -107.55145)",,20194556
PACIFIC,2019,45,9,,214,,988,,880,,,-,23,,63,,174,,,PACIFIC,20194557
ALASKA,2019,45,,-,2,,7,,15,,,-,1,,,-,3,,"ALASKA
(63.631126, -151.631889)",,20194558
CALIFORNIA,2019,45,2,,28,,563,,584,,,-,7,,46,,168,,"CALIFORNIA
(37.211164, -119.662127)",,20194559
HAWAII,2019,45,,-,1,,7,,7,,,-,0,,,-,1,,"HAWAII
(21.361013, -157.854309)",,20194560
OREGON,2019,45,1,,14,,218,,274,,,-,1,,5,,2,,"OREGON
(43.940449, -120.605279)",,20194561
WASHINGTON,2019,45,6,,198,,193,,,-,,-,23,,12,,,-,"WASHINGTON
(47.411715, -120.592492)",,20194562
US TERRITORIES,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194563
AMERICAN SAMOA,2019,45,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20194564
NORTHERN MARIANA ISLANDS,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194565
GUAM,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194566
PUERTO RICO,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20194567
U.S. VIRGIN ISLANDS,2019,45,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194568
NON-US RESIDENTS,2019,45,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20194569
TOTAL,2019,45,110,,450,,10543,,11091,,1,,532,,4179,,3465,,,TOTAL,20194570
US RESIDENTS,2019,46,50,,450,,10648,,11276,,,-,532,,4180,,3469,,,US RESIDENTS,20194601
NEW ENGLAND,2019,46,1,,26,,461,,579,,,-,91,,354,,70,,,NEW ENGLAND,20194602
CONNECTICUT,2019,46,,-,6,,63,,71,,,-,26,,102,,27,,"CONNECTICUT
(41.575155, -72.738288)",,20194603
MAINE,2019,46,,-,12,,60,,56,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20194604
MASSACHUSETTS,2019,46,,-,15,,203,,222,,,-,60,,207,,33,,"MASSACHUSETTS
(42.151077, -71.481104)",,20194605
NEW HAMPSHIRE,2019,46,,-,7,,59,,83,,,-,2,,9,,6,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194606
RHODE ISLAND,2019,46,1,,7,,55,,84,,,-,5,,30,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20194607
VERMONT,2019,46,,-,3,,21,,63,,,-,5,,6,,1,,"VERMONT
(44.075252, -72.662695)",,20194608
MIDDLE ATLANTIC,2019,46,4,,69,,1420,,1067,,,-,151,,672,,203,,,MIDDLE ATLANTIC,20194609
NEW JERSEY,2019,46,,-,17,,224,,141,,,-,36,,185,,59,,"NEW JERSEY
(40.110253, -74.655514)",,20194610
NEW YORK,2019,46,,-,27,,434,,287,,,-,85,,296,,60,,"NEW YORK
(42.921241, -75.59655)",,20194611
NEW YORK CITY,2019,46,1,,18,,319,,213,,,-,44,,191,,84,,,NEW YORK CITY,20194612
PENNSYLVANIA,2019,46,3,,21,,443,,426,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20194613
EAST NORTH CENTRAL,2019,46,15,,108,,1898,,2448,,,-,116,,531,,1774,,,EAST NORTH CENTRAL,20194614
ILLINOIS,2019,46,,-,24,,334,,398,,,-,51,,162,,1253,,"ILLINOIS
(40.124144, -89.148632)",,20194615
INDIANA,2019,46,,-,11,,,-,286,,,-,0,,,-,79,,"INDIANA
(39.919991, -86.2818)",,20194616
MICHIGAN,2019,46,,-,19,,330,,341,,,-,64,,120,,30,,"MICHIGAN
(44.874798, -85.730977)",,20194617
OHIO,2019,46,15,,32,,627,,595,,,-,37,,141,,92,,"OHIO
(40.415534, -82.70936)",,20194618
WISCONSIN,2019,46,,-,39,,607,,828,,,-,28,,108,,320,,"WISCONSIN
(44.639954, -89.732969)",,20194619
WEST NORTH CENTRAL,2019,46,5,,51,,1236,,1915,,,-,60,,231,,550,,,WEST NORTH CENTRAL,20194620
IOWA,2019,46,,-,30,,480,,629,,,-,48,,119,,211,,"IOWA
(42.074659, -93.500061)",,20194621
KANSAS,2019,46,,-,4,,52,,91,,,-,2,,8,,22,,"KANSAS
(38.484729, -98.38018)",,20194622
MINNESOTA,2019,46,,-,10,,,-,501,,,-,1,,,-,155,,"MINNESOTA
(46.349153, -94.198308)",,20194623
MISSOURI,2019,46,4,,24,,349,,328,,,-,16,,58,,110,,"MISSOURI
(38.3675, -92.477244)",,20194624
NEBRASKA,2019,46,1,,8,,173,,160,,,-,6,,36,,22,,"NEBRASKA
(41.527099, -99.810595)",,20194625
NORTH DAKOTA,2019,46,,-,3,,29,,37,,,N,,NC,,N,,N,"NORTH DAKOTA
(47.446305, -100.46931)",,20194626
SOUTH DAKOTA,2019,46,,-,11,,153,,169,,,-,6,,10,,30,,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194627
SOUTH ATLANTIC,2019,46,3,,67,,1723,,1674,,,-,203,,1150,,224,,,SOUTH ATLANTIC,20194628
DELAWARE,2019,46,,-,4,,34,,28,,,-,2,,4,,6,,"DELAWARE
(38.994926, -75.452394)",,20194629
DISTRICT OF COLUMBIA,2019,46,,-,2,,19,,33,,,-,11,,37,,8,,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194630
FLORIDA,2019,46,,-,21,,535,,529,,,-,114,,532,,73,,"FLORIDA
(28.260731, -82.420978)",,20194631
GEORGIA,2019,46,1,,23,,311,,324,,,-,14,,70,,33,,"GEORGIA
(32.638481, -83.426574)",,20194632
MARYLAND,2019,46,,-,6,,83,,82,,,-,60,,200,,38,,"MARYLAND
(38.946466, -76.687282)",,20194633
NORTH CAROLINA,2019,46,,-,9,,220,,239,,,-,30,,76,,35,,"NORTH CAROLINA
(35.52603, -79.130883)",,20194634
SOUTH CAROLINA,2019,46,,-,7,,97,,105,,,-,4,,22,,6,,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194635
VIRGINIA,2019,46,2,,19,,379,,273,,,-,52,,205,,20,,"VIRGINIA
(37.510861, -78.666382)",,20194636
WEST VIRGINIA,2019,46,,-,4,,45,,61,,,-,2,,4,,5,,"WEST VIRGINIA
(38.642579, -80.613729)",,20194637
EAST SOUTH CENTRAL,2019,46,,-,42,,712,,623,,,-,17,,64,,26,,,EAST SOUTH CENTRAL,20194638
ALABAMA,2019,46,,-,14,,172,,139,,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20194639
